"effect","low","high","age","group","OR","low_OR","high_OR","Race"
-0.0240394004374446,-0.0716705294356413,0.0235917285607521,27,"q_11_to_50",0.976247244431654,0.93083752886111,1.02387221476392,"White"
-0.0214538355167459,-0.0717264769339075,0.0288188059004157,28,"q_11_to_50",0.978774661052651,0.930785452286869,1.0292380857103,"White"
-0.0179610878752394,-0.0705034217177398,0.034581245967261,29,"q_11_to_50",0.982199251074508,0.931924550737577,1.03518612965802,"White"
-0.0135611575129249,-0.0680069169045304,0.0408846018786805,30,"q_11_to_50",0.986530380728254,0.93425401140906,1.04173188470657,"White"
-0.00825404442980268,-0.0642435610216213,0.0477354721620159,31,"q_11_to_50",0.991779926664361,0.937776565894652,1.04889315718395,"White"
-0.00203974862587256,-0.0592212422593869,0.0551417450076418,32,"q_11_to_50",0.997962330247656,0.942498225651721,1.05669038464732,"White"
0.00508172989886541,-0.0529494495928832,0.063112909390614,33,"q_11_to_50",1.00509466378781,0.948427954689769,1.06514709755173,"White"
0.0131103911444112,-0.0454396709670025,0.0716604532558249,34,"q_11_to_50",1.01319670913076,0.955577249884474,1.07429051028319,"White"
0.0220462351107649,-0.0367059048554857,0.0807983750770154,35,"q_11_to_50",1.02229104911768,0.963959589500546,1.08415228240803,"White"
0.0318892617979264,-0.0267653190120008,0.0905438426078536,36,"q_11_to_50",1.03240317250359,0.973589697708291,1.09476950413955,"White"
0.0426394712058958,-0.015639098821588,0.10091804123338,37,"q_11_to_50",1.04356159301816,0.984482556863636,1.10618597640978,"White"
0.054296863334673,-0.00335353610409397,0.11194726277344,38,"q_11_to_50",1.05579798334716,0.996652080717614,1.11845387493429,"White"
0.066861438184258,0.0100585856781797,0.123664290690336,39,"q_11_to_50",1.06914732491601,1.01010934329162,1.13163590651497,"White"
0.080333195754651,0.0245562591697283,0.136110132339574,40,"q_11_to_50",1.0836480744666,1.02486024727194,1.14580807717053,"White"
0.0947121360458517,0.0400881529618629,0.149336119129841,41,"q_11_to_50",1.09934234853746,1.04090252878903,1.16106317917573,"White"
0.10999825905786,0.0565902019195499,0.163406316196171,42,"q_11_to_50",1.11627612708503,1.0582220641568,1.17751503593231,"White"
0.126191564790677,0.0739831134044889,0.178400016176865,43,"q_11_to_50",1.13449947762291,1.07678862204878,1.19530336629833,"White"
0.143292053244301,0.0921703126023473,0.194413793886255,44,"q_11_to_50",1.15406680140617,1.09655156272848,1.21459877253183,"White"
0.161299724418733,0.111037287572059,0.211562161265408,45,"q_11_to_50",1.17503710335237,1.11743657257437,1.23560677012192,"White"
0.180214578313973,0.130453752565682,0.229975404062264,46,"q_11_to_50",1.19747428756927,1.13934524688064,1.2585690538627,"White"
0.200036614930021,0.150280152361818,0.249793077498224,47,"q_11_to_50",1.22144748055544,1.16215977893316,1.28375975042329,"White"
-0.00954383928231905,-0.0163949127782745,-0.00269276578636362,18,"q_51_to_90",0.990501558613607,0.983738752331376,0.997310856455414,"White"
-0.0178620485017252,-0.0311480550343161,-0.00457604196913429,19,"q_51_to_90",0.982296532290256,0.969332047961856,0.995434412158662,"White"
-0.0249546276582184,-0.044260776677321,-0.00564847863911581,20,"q_51_to_90",0.97535416512693,0.956704438735415,0.994367444022641,"White"
-0.0308215767517987,-0.0557346076151453,-0.00590854588845207,21,"q_51_to_90",0.969648565489301,0.945790108078224,0.994108875240738,"White"
-0.0354628957824661,-0.0655712881360594,-0.00535450342887274,22,"q_51_to_90",0.96515854501824,0.93653228073919,0.994659806372593,"White"
-0.0388785847502205,-0.0737728055068683,-0.00398436399357275,23,"q_51_to_90",0.961867487438133,0.928882706905651,0.996023563053069,"White"
-0.041068643655062,-0.0803414382807932,-0.00179584902933091,24,"q_51_to_90",0.959763246029367,0.922801212930728,0.998205762542679,"White"
-0.0420330724969907,-0.0852798102187456,0.00121366522476428,25,"q_51_to_90",0.958838068878948,0.918255311231775,1.00121440201445,"White"
-0.0417718712760064,-0.0885909562635186,0.00504721371150588,26,"q_51_to_90",0.959088551264993,0.915219861971114,1.00505997235079,"White"
-0.0402850399921091,-0.0902784037096567,0.00970832372543845,27,"q_51_to_90",0.960515614765473,0.913676778854366,1.00975560237517,"White"
-0.037572578645299,-0.0903462726384058,0.0152011153478078,28,"q_51_to_90",0.963124512911653,0.9136147706944,1.01531723996348,"White"
-0.0336344872355759,-0.0887994009123218,0.0215304264411699,29,"q_51_to_90",0.966924863434822,0.915029109169799,1.02176387850297,"White"
-0.02847076576294,-0.0856435006478324,0.0287019691219525,30,"q_51_to_90",0.97193070738352,0.917921411285409,1.0291178398728,"White"
-0.0220814142273911,-0.0808853552376363,0.0367225267828542,31,"q_51_to_90",0.978160595620206,0.922299422181839,1.03740512876027,"White"
-0.0144664326289292,-0.0745330688468235,0.0456002035889651,32,"q_51_to_90",0.985637703443629,0.928176779815718,1.0466558780349,"White"
-0.00562582096755451,-0.0665963840643983,0.0553447421292893,33,"q_51_to_90",0.99438997432884,0.935572737207556,1.05690491152731,"White"
0.00444042075673312,-0.0570870882911584,0.0659679298046246,34,"q_51_to_90",1.00445029403341,0.944511809865156,1.0681924594758,"White"
0.0157322925439337,-0.0460195357091185,0.077484120796986,35,"q_51_to_90",1.01585669658903,0.955023304950987,1.08056507381015,"White"
0.0282497943940472,-0.0334113194113558,0.0899109081994502,36,"q_51_to_90",1.02865260398545,0.967140674032874,1.09407680609045,"White"
0.0419929263070736,-0.01928413721473,0.103269989828877,37,"q_51_to_90",1.04288710166156,0.980900612275163,1.10879073088696,"White"
0.056961688283013,-0.00366490368904321,0.117588280255069,38,"q_51_to_90",1.05861525225064,0.996341803873789,1.12478092150757,"White"
0.0731560803218652,0.0134128330375567,0.132899327606174,39,"q_51_to_90",1.0758984503868,1.01350318860538,1.14213501107733,"White"
0.0905761024236304,0.0319071149477926,0.149245089899468,40,"q_51_to_90",1.09480482177174,1.03242160431669,1.16095749329844,"White"
0.109221754588308,0.0517654109492582,0.166678098227359,41,"q_51_to_90",1.11540967013048,1.05312866108029,1.1813739177361,"White"
0.129093036815899,0.0729221154124926,0.185263958219306,42,"q_51_to_90",1.13779597615635,1.07564675734818,1.20353608144476,"White"
0.150189949106403,0.0952959202778666,0.20508397793494,43,"q_51_to_90",1.16205495306568,1.09998431463273,1.22762815431178,"White"
0.17251249145982,0.118787569173934,0.226237413745706,44,"q_51_to_90",1.1882866639574,1.12613066800912,1.25387331670428,"White"
0.19606066387615,0.143278948808203,0.248842378944096,45,"q_51_to_90",1.21660070681035,1.15405167811061,1.28253986184975,"White"
0.220834466355393,0.16863496578846,0.273033966922325,46,"q_51_to_90",1.24711697365885,1.18368797344508,1.31394487473026,"White"
0.246833898897548,0.194709835409957,0.298957962385139,47,"q_51_to_90",1.27996649127512,1.21495839743246,1.34845293653622,"White"
